lead_id,age,gender,current_city,current_education,parent_occupation,lead_gen_source,jnr_sm_id,lead_stage,call_status,call_reason,snr_sm_id,cycle,Reason_for_not_interested,language,watched_percentage,Lead_Status
USR1001,16,FEMALE,Hyderabad,Intermediate,Private Employee,social_media,JNR1001MG,Lead Stage,successful,lead_introduction,SNR501MG,1,No time for student,Info Unavailable,0,Yet to convert Lead
USR1001,16,FEMALE,Hyderabad,Intermediate,Private Employee,social_media,JNR1001MG,Lead Stage,successful,demo_schedule,SNR501MG,1,No time for student,Info Unavailable,0,Yet to convert Lead
USR1002,20,MALE,Bengaluru,B.Tech,Business,user_referrals,JNR1001MG,Lead Stage,successful,lead_introduction,SNR501MG,1,Shown Interest,Telugu,42.0,Yet to convert Lead
USR1002,20,MALE,Bengaluru,B.Tech,Business,user_referrals,JNR1001MG,Lead Stage,successful,demo_schedule,SNR501MG,1,Shown Interest,Telugu,42.0,Yet to convert Lead
USR1002,20,MALE,Bengaluru,B.Tech,Business,user_referrals,JNR1001MG,awareness,successful,post_demo_followup,SNR501MG,1,Shown Interest,Telugu,42.0,Yet to convert Lead
USR1002,20,MALE,Bengaluru,B.Tech,Business,user_referrals,JNR1001MG,awareness,successful,followup_for_consideration,SNR501MG,1,Shown Interest,Telugu,42.0,Yet to convert Lead
USR1002,20,MALE,Bengaluru,B.Tech,Business,user_referrals,JNR1001MG,consideration,successful,interested_for_conversion,SNR501MG,1,Shown Interest,Telugu,42.0,Yet to convert Lead
USR1002,20,MALE,Bengaluru,B.Tech,Business,user_referrals,JNR1001MG,consideration,successful,followup_for_conversion,SNR501MG,1,Shown Interest,Telugu,42.0,Yet to convert Lead
USR1002,20,MALE,Bengaluru,B.Tech,Business,user_referrals,JNR1001MG,conversion,successful,successful_conversion,SNR501MG,1,Shown Interest,Telugu,42.0,Yet to convert Lead
USR1003,20,FEMALE,Visakhapatnam,B.Tech,Lawyer,user_referrals,JNR1001MG,Lead Stage,unsuccessful,lead_introduction,SNR501MG,1,No time for student,Telugu,81.0,Yet to convert Lead
USR1003,20,FEMALE,Visakhapatnam,B.Tech,Lawyer,user_referrals,JNR1001MG,Lead Stage,successful,lead_introduction,SNR501MG,1,No time for student,Telugu,81.0,Yet to convert Lead
USR1003,20,FEMALE,Visakhapatnam,B.Tech,Lawyer,user_referrals,JNR1001MG,Lead Stage,successful,demo_schedule,SNR501MG,1,No time for student,Telugu,81.0,Yet to convert Lead
USR1003,20,FEMALE,Visakhapatnam,B.Tech,Lawyer,user_referrals,JNR1001MG,awareness,successful,post_demo_followup,SNR501MG,1,No time for student,Telugu,81.0,Yet to convert Lead
USR1003,20,FEMALE,Visakhapatnam,B.Tech,Lawyer,user_referrals,JNR1001MG,awareness,successful,followup_for_consideration,SNR501MG,1,No time for student,Telugu,81.0,Yet to convert Lead
USR1004,16,MALE,Mumbai,Intermediate,IT Employee,user_referrals,JNR1001MG,Lead Stage,successful,lead_introduction,SNR501MG,1,Wants offline classes,Telugu,35.0,Yet to convert Lead
USR1004,16,MALE,Mumbai,Intermediate,IT Employee,user_referrals,JNR1001MG,Lead Stage,successful,demo_schedule,SNR501MG,1,Wants offline classes,Telugu,35.0,Yet to convert Lead
USR1004,16,MALE,Mumbai,Intermediate,IT Employee,user_referrals,JNR1001MG,awareness,successful,post_demo_followup,SNR501MG,1,Wants offline classes,Telugu,35.0,Yet to convert Lead
USR1005,16,MALE,Chennai,Intermediate,Government Employee,user_referrals,JNR1001MG,Lead Stage,unsuccessful,lead_introduction,SNR501MG,1,Cannot afford,Hindi,38.0,Yet to convert Lead
USR1005,16,MALE,Chennai,Intermediate,Government Employee,user_referrals,JNR1001MG,Lead Stage,successful,lead_introduction,SNR501MG,1,Cannot afford,Hindi,38.0,Yet to convert Lead
USR1005,16,MALE,Chennai,Intermediate,Government Employee,user_referrals,JNR1001MG,Lead Stage,successful,demo_schedule,SNR501MG,1,Cannot afford,Hindi,38.0,Yet to convert Lead
USR1005,16,MALE,Chennai,Intermediate,Government Employee,user_referrals,JNR1001MG,awareness,successful,post_demo_followup,SNR501MG,1,Cannot afford,Hindi,38.0,Yet to convert Lead
USR1006,16,MALE,Kochi,Intermediate,Doctor,user_referrals,JNR1001MG,Lead Stage,successful,lead_introduction,SNR501MG,2,Student not interested in domain,Hindi,54.0,Yet to convert Lead
USR1006,16,MALE,Kochi,Intermediate,Doctor,user_referrals,JNR1001MG,Lead Stage,successful,demo_schedule,SNR501MG,2,Student not interested in domain,Hindi,54.0,Yet to convert Lead
USR1006,16,MALE,Kochi,Intermediate,Doctor,user_referrals,JNR1001MG,Lead Stage,successful,demo_not_attended,SNR501MG,2,Student not interested in domain,Hindi,54.0,Yet to convert Lead
USR1006,16,MALE,Kochi,Intermediate,Doctor,user_referrals,JNR1001MG,awareness,successful,post_demo_followup,SNR501MG,2,Student not interested in domain,Hindi,54.0,Yet to convert Lead
USR1007,16,FEMALE,Hyderabad,Intermediate,Professor/Faculty,social_media,JNR1001MG,Lead Stage,successful,lead_introduction,SNR501MG,2,Shown Interest,English,52.0,Yet to convert Lead
USR1007,16,FEMALE,Hyderabad,Intermediate,Professor/Faculty,social_media,JNR1001MG,Lead Stage,successful,demo_schedule,SNR501MG,2,Shown Interest,English,52.0,Yet to convert Lead
USR1007,16,FEMALE,Hyderabad,Intermediate,Professor/Faculty,social_media,JNR1001MG,awareness,successful,post_demo_followup,SNR501MG,2,Shown Interest,English,52.0,Yet to convert Lead
USR1007,16,FEMALE,Hyderabad,Intermediate,Professor/Faculty,social_media,JNR1001MG,awareness,successful,followup_for_consideration,SNR501MG,2,Shown Interest,English,52.0,Yet to convert Lead
USR1007,16,FEMALE,Hyderabad,Intermediate,Professor/Faculty,social_media,JNR1001MG,consideration,successful,interested_for_conversion,SNR501MG,2,Shown Interest,English,52.0,Yet to convert Lead
USR1007,16,FEMALE,Hyderabad,Intermediate,Professor/Faculty,social_media,JNR1001MG,consideration,successful,followup_for_conversion,SNR501MG,2,Shown Interest,English,52.0,Yet to convert Lead
USR1007,16,FEMALE,Hyderabad,Intermediate,Professor/Faculty,social_media,JNR1001MG,conversion,successful,successful_conversion,SNR501MG,2,Shown Interest,English,52.0,Yet to convert Lead
USR1008,20,MALE,Hyderabad,B.Tech,Business,website,JNR1001MG,Lead Stage,unsuccessful,lead_introduction,SNR501MG,2,Will join in final year,Telugu,41.0,Yet to convert Lead
USR1008,20,MALE,Hyderabad,B.Tech,Business,website,JNR1001MG,Lead Stage,successful,lead_introduction,SNR501MG,2,Will join in final year,Telugu,41.0,Yet to convert Lead
USR1008,20,MALE,Hyderabad,B.Tech,Business,website,JNR1001MG,Lead Stage,successful,demo_schedule,SNR501MG,2,Will join in final year,Telugu,41.0,Yet to convert Lead
USR1008,20,MALE,Hyderabad,B.Tech,Business,website,JNR1001MG,awareness,successful,post_demo_followup,SNR501MG,2,Will join in final year,Telugu,41.0,Yet to convert Lead
USR1009,20,MALE,Hyderabad,B.Tech,Lawyer,website,JNR1001MG,Lead Stage,successful,lead_introduction,SNR501MG,2,Student not interested in domain,Telugu,50.0,Yet to convert Lead
USR1009,20,MALE,Hyderabad,B.Tech,Lawyer,website,JNR1001MG,Lead Stage,successful,demo_schedule,SNR501MG,2,Student not interested in domain,Telugu,50.0,Yet to convert Lead
USR1009,20,MALE,Hyderabad,B.Tech,Lawyer,website,JNR1001MG,awareness,successful,post_demo_followup,SNR501MG,2,Student not interested in domain,Telugu,50.0,Yet to convert Lead
USR1010,20,FEMALE,Hyderabad,B.Tech,IT Employee,website,JNR1001MG,Lead Stage,unsuccessful,lead_introduction,SNR501MG,2,Will join in final year,Telugu,48.0,Yet to convert Lead
USR1010,20,FEMALE,Hyderabad,B.Tech,IT Employee,website,JNR1001MG,Lead Stage,successful,lead_introduction,SNR501MG,2,Will join in final year,Telugu,48.0,Yet to convert Lead
USR1010,20,FEMALE,Hyderabad,B.Tech,IT Employee,website,JNR1001MG,Lead Stage,successful,demo_schedule,SNR501MG,2,Will join in final year,Telugu,48.0,Yet to convert Lead
USR1010,20,FEMALE,Hyderabad,B.Tech,IT Employee,website,JNR1001MG,Lead Stage,successful,demo_not_attended,SNR501MG,2,Will join in final year,Telugu,48.0,Yet to convert Lead
USR1010,20,FEMALE,Hyderabad,B.Tech,IT Employee,website,JNR1001MG,awareness,successful,post_demo_followup,SNR501MG,2,Will join in final year,Telugu,48.0,Yet to convert Lead
USR1011,20,FEMALE,Hyderabad,B.Tech,Private Employee,website,JNR1001MG,Lead Stage,successful,lead_introduction,SNR501MG,3,Shown Interest,Telugu,44.0,Yet to convert Lead
USR1011,20,FEMALE,Hyderabad,B.Tech,Private Employee,website,JNR1001MG,Lead Stage,successful,demo_schedule,SNR501MG,3,Shown Interest,Telugu,44.0,Yet to convert Lead
USR1011,20,FEMALE,Hyderabad,B.Tech,Private Employee,website,JNR1001MG,Lead Stage,unsuccessful,demo_not_attended,SNR501MG,3,Shown Interest,Telugu,44.0,Yet to convert Lead
USR1011,20,FEMALE,Hyderabad,B.Tech,Private Employee,website,JNR1001MG,Lead Stage,successful,demo_not_attended,SNR501MG,3,Shown Interest,Telugu,44.0,Yet to convert Lead
USR1011,20,FEMALE,Hyderabad,B.Tech,Private Employee,website,JNR1001MG,awareness,successful,post_demo_followup,SNR501MG,3,Shown Interest,Telugu,44.0,Yet to convert Lead
USR1011,20,FEMALE,Hyderabad,B.Tech,Private Employee,website,JNR1001MG,consideration,unsuccessful,interested_for_conversion,SNR501MG,3,Shown Interest,Telugu,44.0,Yet to convert Lead
USR1011,20,FEMALE,Hyderabad,B.Tech,Private Employee,website,JNR1001MG,consideration,successful,followup_for_conversion,SNR501MG,3,Shown Interest,Telugu,44.0,Yet to convert Lead
USR1011,20,FEMALE,Hyderabad,B.Tech,Private Employee,website,JNR1001MG,consideration,successful,interested_for_conversion,SNR501MG,3,Shown Interest,Telugu,44.0,Yet to convert Lead
